"RelPath","Ext","SizeMB","Decision","Reason"
"_tmp/KPI_FROM_MINIO.md","md","0","include","text/code or small asset"
"_tmp_md/C07_report_2025-08-14_231551.txt","txt","0","include","text/code or small asset"
"_tmp_md/C07_report_2025-08-14_233052.txt","txt","0","include","text/code or small asset"
"_tmp_md/C07_report_2025-08-14_233311.txt","txt","0","include","text/code or small asset"
"_tmp_md/C07_report_2025-08-14_233533.txt","txt","0","include","text/code or small asset"
"_tmp_md/C07_report_2025-08-14_233611.txt","txt","0","include","text/code or small asset"
"_tmp_md/C07_report_2025-08-14_234347.txt","txt","0","include","text/code or small asset"
"_tmp_md/C07_report_2025-08-14_234652.txt","txt","0","include","text/code or small asset"
"_tmp_md/C07_report_2025-08-15_004921.txt","txt","0","include","text/code or small asset"
"_tmp_md/C07_report_2025-08-15_010009.txt","txt","0","include","text/code or small asset"
"_tmp_md/C07_report_2025-08-15_010205.txt","txt","0","include","text/code or small asset"
"_tmp_md/C07_report_2025-08-15_193002.txt","txt","0","include","text/code or small asset"
"_tmp_md/C07_report_2025-08-16_090004.txt","txt","0","include","text/code or small asset"
"_tmp_md/C07_report_2025-08-17_231015.txt","txt","0","include","text/code or small asset"
"_tmp_md/health-summary.md","md","0","include","text/code or small asset"
"_tmp_md/KPI_TRACKER.md","md","0","include","text/code or small asset"
"_tmp_md/KPI_TRACKER.utf8.md","md","0","include","text/code or small asset"
"_tmp_md/README.md","md","0","include","text/code or small asset"
"_tmp_md/REPORT.md","md","0","include","text/code or small asset"
"_tmp_md/REPORT_GUIDE.md","md","0","include","text/code or small asset"
"_tmp_md/WEEKLY.md","md","0","include","text/code or small asset"
"_tmp_md/daily/.keep","keep","0","include","text/code or small asset"
"_tmp_md/dashboards/.keep","keep","0","include","text/code or small asset"
"_tmp_md/dashboards/C07_BASE_DASHBOARD.md","md","0","include","text/code or small asset"
"_tmp_md/weekly/.keep","keep","0","include","text/code or small asset"
"_tmp_md/weekly/weekly_report_2025-W34.md","md","0","include","text/code or small asset"
